title,release_date,genre,developer,publisher,required_age,critic_score,critic_score_phrase,average_playtime,median_playtime,owners,price
Alpha Protocol,2010-06-01,"Action, RPG",Obsidian Entertainment,SEGA,16,6.3,Okay,267,214,750000,9.99
Puzzle Agent,2010-07-01,Adventure,Telltale Games,Telltale Games,0,6.0,Okay,69,110,750000,3.99
Prince of Persia: The Forgotten Sands,2010-06-09,Action,Ubisoft Montreal,Ubisoft,0,8.0,Great,328,328,350000,8.59
Sniper: Ghost Warrior,2010-07-07,Shooter,City Interactive,CI Games,0,5.0,Mediocre,113,123,1500000,5.99
Kane & Lynch 2: Dog Days,2010-08-25,Action,IO Interactive,Square Enix,18,7.0,Good,282,301,750000,7.99
Amnesia: The Dark Descent,2010-09-03,Adventure,Frictional Games,Frictional Games,0,8.5,Great,173,41,3500000,14.99
Blacklight: Tango Down,2010-07-27,Shooter,Zombie Studios,Ignition Entertainment,0,6.5,Okay,129,193,75000,0.79
Razor2: Hidden Skies,2010-08-02,Shooter,Invent4 Entertainment,Strategy First,0,7.0,Good,28,28,75000,6.99
Lara Croft and the Guardian of Light,2010-10-20,"Action, Adventure",Crystal Dynamics,Square Enix,0,8.5,Great,42,57,750000,7.99
Fallout: New Vegas,2010-10-19,RPG,Obsidian Entertainment,Bethesda Softworks,18,9.0,Amazing,2485,1431,3500000,7.99
Lost Planet 2,2010-10-18,Shooter,"CAPCOM CO., LTD.",Capcom,0,6.0,Okay,879,879,150000,12.99
Recettear: An Item Shop's Tale,2010-09-21,RPG,EasyGameStation,Carpe Fulgur LLC,0,7.5,Good,764,1136,350000,12.99
Sid Meier's Civilization V,2010-09-20,Strategy,Firaxis Games;Aspyr (Mac);Aspyr (Linux),2K;Aspyr (Mac);Aspyr (Linux),0,9.0,Amazing,4760,1797,7500000,19.99
Front Mission Evolved,2010-10-01,Shooter,Double Helix Games,Square Enix,0,6.0,Okay,312,312,350000,7.99
Arcania: Gothic IV,2010-10-12,"Action, RPG",Spellbound Studios,THQ Nordic,0,7.5,Good,398,571,350000,17.99
Medal of Honor,2010-10-12,Shooter,Electronic Arts,Electronic Arts,0,6.5,Okay,133,166,1500000,14.99
Alien Breed 2: Assault,2010-10-06,Shooter,Team17 Digital Ltd,Team17 Digital Ltd,0,8.0,Great,96,96,350000,6.99
Dead Rising 2,2010-09-30,"Action, Adventure",Capcom Vancouver,Capcom,18,8.0,Great,1108,993,750000,14.99
The Ball,2010-10-25,"Action, Adventure",Teotl Studios,Tripwire Interactive,0,7.0,Good,14,14,350000,6.99
Clones,2010-12-03,Strategy,Tomkorp Computer Solutions Inc.,Tomkorp Computer Solutions Inc.,0,6.5,Okay,210,220,150000,0.79
Zen Bound 2,2010-11-30,Puzzle,Secret Exit Ltd.,Secret Exit Ltd.,0,7.5,Good,133,133,350000,3.99
Need for Speed: Hot Pursuit,2010-11-30,Racing,Criterion Games,Electronic Arts,0,9.0,Amazing,467,415,1500000,14.99
